Åvs,Ort,Glas,Kartong,Metall,Blandplast,Tidningar,Latitud decimal,Longitud decimal
Fredriksberg (ÅVC),Fredriksberg,x,x,x,x,x,60.14361,14.35556
Lima Reningsverket ,Lima,x,x,x,x,x,60.93694,13.35694
Containerplats Orrliden,Tandådalen,x,x,x,x,x,61.18472,12.98222
Folkets Hus,Limedsforsen,x,x,x,x,x,60.90222,13.38306
Gamla Brandstations parkeringen,Malung,x,x,x,x,x,60.68500,13.71028
OK/Q8,Malung,x,x,x,x,x,60.68028,13.73194
"Konsum, fd stationsplan, Malungsfors",Malungsfors,x,x,x,x,x,60.73722,13.56028
ICA Nära Rörbäcksnäs,Rörbäcksnäs/Lima,x,x,x,x,x,61.13222,12.81222
Sälens by-Ica,Sälen,x,x,x,x,x,61.15722,13.26694
"Norr-kiosken, Sörsjön",Sörsjön,x,x,x,x,x,61.41083,13.08472
Fiskarheden,Fiskarheden,x,x,x,x,x,61.06861,13.33583
"Fotbollsplan, Yttermalung",Yttermalung,x,x,x,x,x,60.57972,13.82389
Öje Centrum,Öje,x,x,x,x,x,60.80889,13.86028
Malung (ÅVC),Malung,x,x,x,x,x,60.69111,13.74806
Sälen utanför (ÅVC),Sälen,x,x,x,x,x,61.16694,13.19861
Vivo,Tandådalen,x,"","","",x,61.18472,12.98222
Hagaparkeringen,Malung,x,x,x,x,x,60.68250,13.71583
Kläppen Övre,Transtrand,x,x,x,x,x,61.04028,13.35528
Hemfjällstangen,Transtrand,x,"","","","",61.08556,13.22389
Dammköl,Sälen,x,"","","","",61.17028,13.19083
Köarskärsfjället,Sälen,x,"","","","",61.16222,13.14028
Högfjällsbyn,Sälen,x,"","","","",61.15750,13.11083
Gilleråsen,Sälen,x,"","","","",61.18722,13.01972
Granfjällstöten,Sälen,x,"","","","",61.26639,12.88806
Hundfjället,Sälen,x,x,x,x,x,61.17778,12.96111
Tandådalen,Sälen,x,x,x,x,x,61.17861,12.99222
Kläppen Nedre,Sälen,x,x,x,x,x,61.03778,13.34194
Stöten,Sälen,x,x,x,x,x,61.26611,12.89139
Fotbollsplanen Storbyn,Malung,x,x,x,x,x,60.67694,13.70583
"ICA, Bergkarlås",Bergkarlås,x,x,x,x,x,61.03583,14.64944
"Bystugan, Garsås",Garsås,x,x,x,x,x,60.92167,14.82639
"Fotbollsplan, Gesunda",Gesunda,x,x,x,x,x,60.88750,14.53194
"Affären, Gävunda",Gävunda,x,x,x,x,x,60.77806,14.16389
"Mäxvägen/Malungsvägen, Hånåkni",Mora,x,x,x,x,x,60.99194,14.52972
Hagvägen,Klockarhagen,x,x,x,x,x,60.99167,14.53972
Åhléns p-plats,Mora,x,x,x,x,x,61.00528,14.53722
Skålmyrsvägen Mellan Granngården och Biltema,Noret,x,x,x,x,x,61.00667,14.60056
Bygdegården Nusnäs,Nusnäs,x,x,x,x,x,60.96389,14.63972
"Tallvägen (öster om), Rödmyren",Rödmyren,x,x,x,x,x,61.01778,14.59222
Bygdegården Selja-Långlet,Selja-Långlet,x,x,x,x,x,61.02111,14.46278
"Konsum, Venjan",Venjan,x,x,x,x,x,60.95361,13.90861
"Norr bygdegården, Vika",Vika,x,x,x,x,x,60.95306,14.45944
"OK, Våmhus",Våmhus,x,x,x,x,x,61.11361,14.47361
Tuvan,Mora,x,x,x,x,x,61.01556,14.54222
"Kvarn, Färnäs",Färnäs,x,x,x,x,x,61.00500,14.61111
Kråkberg (ÅVC),Mora,x,x,x,x,x,61.03806,14.50222
Coop Konsum,Mora,x,x,x,x,x,60.91750,14.61806
Morkarlby,Mora,x,x,x,x,x,61.00472,14.52333
Mora (ÅVC),Mora,x,x,x,x,x,60.98111,14.53611
Stationsvägen,Mora,x,x,x,x,x,61.00861,14.56417
Orsa Heden (ÅVC),Orsa,x,x,x,x,x,61.15306,14.65500
ICA Supermarket,Orsa,x,x,x,x,x,61.11750,14.62778
Orsa Coop (bakom),Orsa,x,x,x,x,x,61.11861,14.61944
Skattungbyn Affären,Skattungbyn,x,x,x,x,x,61.18667,14.85861
Orsa Grönklitt,Grönklitt,x,"","","","",61.20611,14.54000
Orsa Noppikoski,Noppikoski,x, , , ,"",61.49361,14.84556
Grönklitt,Orsa,x,x,x,x,x,61.20722,14.54028
Willys,Orsa,x,x,x,x,x,61.11556,14.62444
"Bingsjö, intill bystuga",Bingsjö,x,x,x,x,x,61.02306,15.64639
"Boda, Reningsverk",Boda,x,x,x,x,x,60.98861,15.21389
"Furudal, utanför reningsverket (ÅVC)",Furudal,x,x,x,x,x,61.16361,15.11444
Hedslund,Hedslund,x,x,x,x,x,60.89583,15.12528
"Servus, centrum",Rättvik,x,x,x,x,x,60.88222,15.11889
Centrum Rondellen,Rättvik,x,x,x,x,x,60.88722,15.12194
"Ingels, 200 m fr Centrum ",Ingels,x,x,x,x,x,60.94861,15.23389
Naturbruksgymnasiet,Rättvik,x,x,x,x,x,60.89472,15.10583
Vikarbyn Hjortgårdsvägen,Vikarbyn,x,x,x,x,x,60.91528,15.03556
Drafsån (ÅVC),Rättvik,x,x,x,x,x,60.88361,15.21139
Busshållplats,Björsjö,x,x,x,x,x,60.03472,15.33694
Skolan,Gubbo,x,x,x,x,x,60.17306,15.32556
Hagbacken,Morgårdshammar,x,x,x,x,x,60.14639,15.38944
Busshållplats,Harnäs,x,x,x,x,x,60.14972,15.23250
Jobsbo Skola,Jobsbo,x,x,x,x,x,60.16361,15.44139
F.d. Skolan,Malingsbo,x,x,x,x,x,59.92917,15.43583
Nyfors Handel,Nyfors,x,x,x,x,x,59.99111,15.29222
ICA Hööks,Smedjebacken,x,x,x,x,x,60.14778,15.37361
ICA Pilen,Smedjebacken,x,x,x,x,x,60.14111,15.41444
Konsum,Smedjebacken,x,x,x,x,x,60.14222,15.40972
Malmgatan,Smedjebacken,x,x,x,x,x,60.14444,15.41778
Moga,Smedjebacken,x,x,x,x,x,60.14639,15.42583
Korsningen Ludvika/Malingsbro,Snöån,x,x,x,x,x,60.07500,15.24917
Kiosken,Söderbärke,x,x,x,x,x,60.07056,15.55444
Vad,Vad,x,x,x,x,x,60.03194,15.64222
Brandstationen,Söderbärke,x,x,x,x,x,60.07361,15.56611
Humboberget (ÅVC),Smedjebacken,x,x,x,x,x,60.11111,15.42056
Nortippen (ÅVC),Smedjebacken,x,x,x,x,x,60.07639,15.58861
Hagge,Ludvika,x,x,x,x,x,60.12583,15.29417
Samhall,Bisberg,x,x,x,x,x,60.34139,15.78417
ICA Gustafs,Gustafs,x,x,x,x,x,60.41306,15.59056
Brandstationen,Mora By,x,x,x,x,x,60.40500,15.58944
Solvarbo,Solvarbo,x,x,x,x,x,60.38972,15.66639
Kyrkbyn,Stora Skedvi,x,x,x,x,x,60.40361,15.81028
Åsens panncentral,Säter,x,x,x,x,x,60.34111,15.75361
Brandstationen,Säter,x,x,x,x,x,60.34528,15.75556
Säterdalen,Säter,x,x,x,x,x,60.34806,15.75583
Burhagsgatan/Bergtäktsvägen,Säter,x,x,x,x,x,60.34694,15.72972
Hagavägen,Säter,x,x,x,x,x,60.34833,15.73806
Mitt emot JaHa Trädgårdshandel,Säter,x,x,x,x,x,60.34944,15.74500
Sätertippen (ÅVC),Säter,x,x,x,x,x,60.33944,15.67639
Dala Järna ,Dala Järna,x,x,x,x,x,60.54556,14.37778
Nås Centrum,Nås,x,x,x,x,x,60.45056,14.47917
Vansbro Kroons torg,Vansbro,x,x,x,x,x,60.51083,14.22139
Björkvägen,Vansbro,x,x,x,x,x,60.50694,14.23528
Ovanheden,Äppelbo,x,x,x,x,x,60.48028,14.00611
Vansbro Bäckdalen (ÅVC),Vansbro,x,x,x,x,x,60.49667,14.16306
Brunnsberg,Brunnsberg,x,x,x,x,x,61.28417,13.92194
Evertsberg ,Evertsberg,x,x,x,x,x,61.13278,13.96667
Kyrkbyn Brotvägen,"Kyrkbyn, Älvdalen",x,x,x,x,x,61.22167,14.04556
Lillfjället Björnliden,Idre,x,x,x,x,x,62.03722,12.38750
Holen,Holen,x,x,x,x,x,61.24694,14.03611
Storbo-Flötingen,Storbo-Flötingen,x,x,x,x,x,61.85556,12.24806
Särnabyn brandstationen,Särna,x,x,x,x,x,61.69250,13.14444
Foskrosvägen,Idre,x,x,x,x,x,61.85778,12.71139
Storsätern reningsverk,"Storsätern, Grövelsjön",x,x,x,x,x,62.05056,12.32972
Fjätervålen närbutik,Fjätervålen,x,x,x,x,x,61.94194,13.00556
Kyrkbyn Villavägen,Kyrbyn,x,x,x,x,x,61.23694,14.03000
Åvs på åvc Idre,Älvdalen,x,x,"",x,x,61.84972,12.77361
Åvs på åvc Särna,Älvdalen,x,x,x,x,x,61.69611,13.10167
